month,Healthcare,Telecom,Banking,Technology,Insurance,#ofphonelines,#noofchannels
31-Jan,631,8,6,2,19,1,4
28-Feb,633,9,7,3,27,1,3
31-Mar,766,4,4,2,24,1,1
30-Apr,768,12,6,3,32,1,1
31-May,1003,2,7,2,42,1,4
30-Jun,1046,5,13,2,44,1,2
31-Jul,1165,51,6,7,39,1,3
31-Aug,1143,47,10,5,34,1,1
30-Sep,1169,139,8,2,51,1,4
31-Oct,1424,73,27,9,71,1,4
30-Nov,1562,94,39,10,117,1,3
31-Dec,1552,80,26,4,99,1,3
31-Jan,1952,94,21,15,99,1,4
28-Feb,1872,122,40,11,111,1,4
31-Mar,2076,140,39,16,123,1,4
30-Apr,1817,160,42,17,187,1,2
31-May,2017,139,31,17,207,1,2
30-Jun,2214,178,43,24,146,1,3
31-Jul,2607,235,36,15,152,1,1
31-Aug,2498,283,49,13,140,1,1
30-Sep,2254,236,42,16,165,1,3
31-Oct,2671,214,51,17,163,1,3
30-Nov,2619,244,66,21,156,1,3
31-Dec,2441,221,62,19,173,1,3
31-Jan,2913,251,51,17,177,1,3
29-Feb,3024,322,62,24,292,1,4
31-Mar,3763,423,116,36,431,1,3
30-Apr,3359,476,101,22,382,2,1
31-May,3538,428,93,23,306,1,3
30-Jun,3485,444,83,36,313,1,1
31-Jul,3688,454,95,25,286,1,4
31-Aug,3849,587,124,41,258,1,2
30-Sep,3526,613,120,25,267,1,2
31-Oct,3639,623,139,46,401,4,1
30-Nov,3889,609,107,44,433,2,4
31-Dec,3555,608,106,36,388,1,2
31-Jan,4232,691,145,54,461,6,3
28-Feb,4517,815,148,64,558,4,1
31-Mar,5073,892,167,66,579,1,1
30-Apr,4948,849,156,46,624,1,3
31-May,5133,882,171,54,542,1,4
30-Jun,5295,975,177,59,525,1,3
31-Jul,5751,1125,205,71,561,1,4
31-Aug,5882,1093,223,76,599,1,2
30-Sep,5273,1061,231,76,553,1,3
31-Oct,6154,1270,248,93,755,1,4
30-Nov,6408,1348,281,107,848,2,1
31-Dec,5636,1194,206,75,663,2,3
31-Jan,6605,1515,255,104,728,2,2
28-Feb,6793,1678,283,75,817,2,3
31-Mar,7680,1858,329,101,1000,2,4
30-Apr,7975,1849,386,121,1060,2,2
31-May,7862,1795,364,96,1025,2,4
30-Jun,7640,1785,296,95,906,2,3
31-Jul,8656,1980,414,131,997,2,2
31-Aug,7974,1930,336,113,915,2,1
30-Sep,7999,1723,394,111,899,2,1
31-Oct,9539,2108,453,139,1117,2,3
30-Nov,9546,2194,487,134,1211,2,1
31-Dec,8306,1869,395,123,1037,2,4
31-Jan,9892,2366,485,115,1122,2,1
28-Feb,9951,2624,556,159,1244,2,1
31-Mar,11483,2830,566,157,1433,2,1
30-Apr,10839,2748,507,130,1421,2,4
31-May,9330,2603,509,145,1264,2,4
30-Jun,8967,2407,437,124,1036,2,4
31-Jul,9999,2654,485,149,1114,1,4
31-Aug,9170,2490,470,153,928,1,1
30-Sep,8829,2385,426,103,1077,1,2
31-Oct,9651,2796,524,124,1238,1,1
30-Nov,9652,2727,461,97,1245,1,3
31-Dec,8886,2315,419,118,996,4,3
31-Jan,9757,2717,495,121,1019,2,1
29-Feb,10264,2984,553,130,1196,1,3
31-Mar,11685,3581,648,149,1393,6,4
30-Apr,11522,3341,598,150,1535,4,2
31-May,11286,3440,625,156,1405,1,3
30-Jun,11887,3448,603,172,1227,1,1
31-Jul,12392,3999,651,173,1132,1,2
31-Aug,11296,3509,559,144,1027,4,1
30-Sep,11040,3349,533,149,942,3,2
31-Oct,12578,3704,602,150,1062,1,2
30-Nov,12384,3556,669,170,1126,4,2
31-Dec,11446,3129,565,133,864,4,4
31-Jan,12439,3561,686,145,937,4,2
28-Feb,13334,3621,754,171,1082,2,2
31-Mar,14173,4075,809,197,1248,1,3
30-Apr,13775,4167,823,178,1127,6,4
31-May,13207,3822,691,187,1145,4,3
30-Jun,13009,3884,774,155,1001,1,3
31-Jul,12943,3768,794,159,905,1,3
31-Aug,13006,3804,759,155,941,1,3
30-Sep,12424,3318,767,157,852,4,4
31-Oct,13616,3808,799,181,901,3,3
30-Nov,14296,3585,841,189,786,1,1
31-Dec,12889,3136,735,161,718,4,1
31-Jan,14388,3519,802,138,796,4,1
28-Feb,14901,3706,931,175,854,0,1
31-Mar,17280,4637,1092,219,1080,1,4
30-Apr,15752,4280,1031,229,959,0,4
31-May,16291,4349,965,191,1005,0,2
30-Jun,16173,4490,961,195,804,1,4
31-Jul,17064,4611,1022,177,736,0,1
31-Aug,17472,5051,1020,185,776,1,1
30-Sep,16949,4641,963,153,662,2,2
31-Oct,18735,5053,1174,210,848,0,4
30-Nov,18935,5117,1156,223,875,2,2
31-Dec,16207,4022,959,200,583,7,3
31-Jan,16307,4209,1003,183,577,2,4
28-Feb,16393,4517,1012,172,537,5,1
31-Mar,17970,5112,1058,196,563,4,3
30-Apr,17030,4746,968,174,605,3,4
31-May,17639,4738,960,200,529,3,1
30-Jun,16860,4508,932,173,458,7,4
31-Jul,17988,4417,1043,214,463,4,1
31-Aug,17874,4141,978,215,404,3,1
30-Sep,16158,3809,900,191,431,11,2
31-Oct,18329,4394,1008,166,519,7,2
30-Nov,18215,4278,1021,193,500,4,4
31-Dec,15537,3392,898,146,413,6,1
31-Jan,17167,3997,921,140,410,5,4
29-Feb,17749,4301,1077,170,364,5,4
31-Mar,20144,4552,1215,203,458,3,1
30-Apr,20054,4660,1143,165,492,8,3
31-May,19128,4359,1017,193,462,1,4
30-Jun,17515,4005,906,170,365,2,3
31-Jul,20041,4265,1077,175,386,3,2
31-Aug,20257,4486,1111,212,371,4,3
30-Sep,19207,4474,1020,135,362,3,1
31-Oct,23414,5138,1310,188,523,3,4
30-Nov,23602,4883,1297,199,479,7,1
31-Dec,20058,4150,1118,159,349,4,2
